t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
38.872121,1,9,8,20.770671,1,11,10,107.773927,2,17,18,35.3854,1,3,10,53.136258,1,4,10,36.252823,1,16,10,0,1,0,1,0,1,1,1,0,1,1,1,66,292.1912,60,13.273471,A
47.73509,2,2,7,107.144449,3,5,10,64.788066,1,3,16,31.967997,1,2,10,34.834469,1,2,8,57.279333,2,4,10,1,1,1,1,1,1,1,1,1,1,1,1,61,343.749404,18,10.400743,A
58.642765,1,12,9,66.629782,1,12,12,457.858171,4,71,37,176.331588,2,15,14,109.403632,1,11,15,91.158473,1,14,14,0,0,0,0,0,0,1,1,0,1,0,1,101,960.024411,135,29.889511,A
159.46586,3,45,7,17.71478,1,14,14,27.226233,1,24,30,27.40818,2,17,10,21.14474,1,16,20,33.86638,1,19,29,1,0,0,1,0,0,1,1,0,1,0,0,110,286.826173,135,24.828213,A
57.776163,1,2,9,97.665937,1,4,20,187.063634,2,11,31,69.778186,2,6,12,44.290579,1,4,8,78.262694,1,8,18,0,0,0,0,1,0,1,0,0,1,1,0,98,534.837193,35,19.181718,A
61.919918,3,5,7,133.305119,6,13,10,74.39119,2,6,16,22.737203,1,3,10,58.440289,3,4,8,24.84839,1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,61,375.642109,33,11.627562,A
100.833944,3,21,7,34.778361,1,3,10,261.9049,3,32,33,65.021909,1,4,14,62.520997,1,3,14,99.400111,2,7,10,1,1,0,0,0,1,1,1,0,1,1,1,88,624.460222,70,20.597609,A
67.111419,1,7,9,61.909776,1,4,10,395.037727,3,6,16,102.113474,1,9,16,82.007485,1,3,8,74.124852,2,4,10,0,1,1,0,1,1,1,1,1,0,1,1,69,782.304734,33,16.825981,A
305.268665,5,13,7,66.270785,2,14,10,62.937213,1,8,16,87.77211,1,9,17,39.819055,1,8,13,43.536063,1,7,10,1,1,1,0,0,1,1,1,1,0,1,1,73,605.603891,59,17.351553,A
80.198994,1,6,11,58.057016,1,7,10,139.137868,1,11,22,59.155786,1,2,12,134.473671,3,13,12,65.439174,1,8,12,0,1,0,0,0,0,1,1,0,1,1,1,79,536.46251,47,16.905205,A
412.616207,12,9,7,242.022215,4,17,10,515.026772,5,13,16,359.933545,4,11,10,66.396817,1,3,8,119.044704,1,7,14,1,1,1,1,1,0,1,1,1,1,1,1,65,1715.04026,60,26.842518,A
33.869534,1,1,7,51.257879,1,6,12,228.363593,6,25,16,50.482236,1,3,10,30.701362,1,2,8,41.651362,1,4,10,1,0,1,1,1,1,1,1,1,1,1,1,63,436.325967,41,13.021941,A
292.946632,15,129,29,104.38122,1,32,29,97.088302,1,30,33,98.303947,1,29,29,221.483049,2,61,19,1448.764917,18,342,38,0,0,0,0,0,0,0,0,0,0,0,0,177,2262.968067,623,84.472331,A
28.365087,1,1,9,66.913334,2,3,10,71.52818,1,11,26,72.080393,2,13,16,44.839311,1,6,12,27.793426,1,10,10,0,1,0,0,0,1,1,1,0,0,1,1,83,311.519731,44,15.188383,A
46.062211,1,2,9,104.721407,2,6,10,123.822419,1,5,16,62.36033,1,3,10,70.560045,1,4,10,165.90042,3,10,12,0,1,1,1,0,0,1,1,1,1,1,1,67,573.426832,30,14.308117,A
41.981361,1,3,7,116.577633,2,9,10,88.579139,1,5,18,35.431642,1,2,10,40.464679,1,2,10,46.214411,1,2,10,1,1,0,1,0,1,1,1,0,1,1,1,65,369.248866,23,11.590506,A
51.972792,1,5,9,44.949781,1,6,10,191.91785,1,26,44,106.212714,1,7,22,56.336786,1,4,12,34.011613,1,5,10,0,1,0,0,0,1,1,1,0,0,1,1,107,485.401536,53,21.241727,A
49.518642,1,8,11,82.16412,1,30,29,42.067857,1,30,31,19.697374,1,12,14,18.828683,1,12,17,16.305861,1,10,14,0,0,0,0,0,0,1,0,0,1,0,1,116,228.582538,102,23.20027,A
35.275152,1,2,7,82.297438,2,6,10,124.421006,1,6,22,120.82173,1,7,18,162.312044,2,8,18,95.260971,2,5,11,1,1,0,0,0,0,1,1,0,0,0,1,86,620.388342,34,18.033796,A
32.385989,1,15,12,22.346181,1,8,10,88.984725,2,134,58,85.398135,1,22,35,35.73256,1,20,17,53.678814,2,40,40,0,1,0,0,0,0,1,1,0,0,0,0,172,318.526404,239,41.385644,A
34.496573,1,1,8,149.137532,3,14,10,306.441133,4,25,20,65.328715,1,5,14,27.363509,1,3,8,80.144222,1,12,15,0,1,0,0,1,0,1,1,0,1,1,0,75,662.911685,60,18.284443,A
145.27478,2,33,16,152.510984,1,19,25,184.014697,1,25,40,68.728316,2,11,10,168.311038,4,21,16,43.620518,1,9,10,0,0,0,1,0,1,1,0,0,1,0,1,117,762.460333,118,29.491116,A
36.697585,1,1,7,75.126434,1,3,10,103.39703,1,6,17,47.52011,1,4,10,67.816698,1,7,13,55.295892,1,3,10,1,1,0,1,0,1,1,1,0,1,1,1,67,385.85375,24,12.130674,A
322.645862,2,14,8,81.664226,1,6,10,401.002495,3,22,17,210.65916,2,16,21,269.214023,6,47,9,63.620008,1,4,10,0,1,0,0,0,1,1,1,0,0,1,1,75,1348.805774,109,27.904704,A
101.121812,2,41,7,43.199791,1,13,12,153.375199,3,57,21,47.868016,1,25,17,29.911111,1,7,8,34.330013,1,16,10,1,0,0,0,1,1,1,1,0,0,1,1,75,409.805942,159,21.908418,A
55.686324,1,1,7,84.103758,2,5,10,284.97402,3,19,18,42.617912,1,6,14,46.696565,2,3,8,44.532379,1,4,14,1,1,0,0,1,0,1,1,0,1,1,1,71,558.610958,38,15.292716,A
64.980737,1,7,7,80.730104,1,16,14,307.881446,4,42,16,170.037731,4,17,11,42.064984,1,4,8,75.213658,2,7,10,1,0,1,0,1,1,1,1,1,1,1,1,66,740.90866,93,19.624954,A
262.912098,26,95,34,86.981374,1,15,12,557.56295,4,111,19,81.667166,1,17,15,67.664221,1,11,12,48.834732,1,9,10,0,0,0,0,0,1,0,1,0,0,1,1,102,1105.622541,258,38.990291,A
80.250065,2,18,8,36.583389,1,12,10,135.45019,2,38,21,62.216757,4,37,12,26.283381,1,13,14,52.450084,1,11,14,0,1,0,0,0,0,1,1,0,1,1,1,79,393.233866,129,20.547682,A
34.500272,1,2,7,50.250479,2,3,10,109.600841,3,16,16,35.833929,1,3,10,25.516692,1,3,8,37.033468,1,6,14,1,1,1,1,1,0,1,1,1,1,1,1,65,292.735681,33,11.465001,A
33.798551,1,1,7,44.186757,1,4,10,255.965615,4,41,24,43.069505,1,18,16,44.620155,1,20,14,44.936979,1,11,14,1,1,0,0,0,0,1,1,0,0,1,1,85,466.577562,95,20.128088,A
23.63135,1,4,9,29.527175,1,10,10,67.663908,1,15,17,29.374394,1,9,10,26.013419,1,6,8,32.054833,1,10,10,0,1,0,1,1,1,1,1,0,1,1,1,64,208.265079,54,11.777386,A
17.918,1,2,7,34.760667,1,3,10,124.044333,3,17,17,39.391333,1,3,13,53.480667,1,4,12,59.497,1,7,16,1,1,0,0,0,0,1,1,0,1,1,0,75,329.092,36,13.593015,A
83.36741,2,6,7,144.429497,3,5,10,410.670855,4,16,17,97.325833,1,2,17,117.374262,1,2,16,177.825275,2,4,12,1,1,0,0,0,0,1,1,0,0,0,1,79,1030.993132,35,20.941412,A
207.056198,5,53,14,59.913452,1,10,10,321.499368,5,41,17,72.612825,2,8,10,103.961093,3,10,8,38.447922,1,4,10,0,1,0,1,1,1,1,1,0,1,1,1,69,803.490858,126,22.728826,A
59.605261,1,4,8,54.373185,1,9,10,187.147832,2,18,18,47.024444,1,6,10,46.557666,1,6,10,50.573696,1,4,10,0,1,0,1,0,1,1,1,0,1,1,1,66,445.282085,47,13.954017,A
26.500862,1,1,7,167.471077,3,10,10,348.720231,8,19,22,106.178032,3,3,10,139.086364,6,8,10,96.665731,1,2,12,1,1,0,1,0,0,1,1,0,1,1,1,71,884.622297,43,18.74461,A
