t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(80.790919-135.14993]\'',4,22,9,'\'(-inf-41.257811]\'',1,10,12,'\'(-inf-82.466974]\'',1,28,26,'\'(-inf-41.626247]\'',1,11,10,'\'(-inf-35.369728]\'',1,9,13,'\'(38.860268-48.843097]\'',3,17,10,0,0,0,1,0,1,1,1,0,1,1,1,80,'\'(-inf-366.642526]\'',97,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,4,7,'\'(41.257811-57.36167]\'',2,9,10,'\'(82.466974-112.968721]\'',1,9,17,'\'(74.303022-112.254647]\'',1,8,18,'\'(46.650883-58.860938]\'',1,5,8,'\'(-inf-38.860268]\'',1,6,12,1,1,0,0,1,0,1,1,0,0,1,1,72,'\'(366.642526-459.963402]\'',41,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',1,1,7,'\'(76.549137-115.960834]\'',2,7,10,'\'(159.869152-241.1566]\'',3,6,24,'\'(55.248765-74.303022]\'',1,5,13,'\'(58.860938-81.517634]\'',1,3,15,'\'(95.929302-inf)\'',2,4,12,1,1,0,0,0,0,1,1,0,1,0,1,81,'\'(573.253523-741.552114]\'',26,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',2,8,13,'\'(115.960834-inf)\'',6,27,10,'\'(82.466974-112.968721]\'',1,7,18,'\'(41.626247-55.248765]\'',2,5,11,'\'(81.517634-inf)\'',5,12,8,'\'(-inf-38.860268]\'',1,10,10,0,1,0,0,1,1,1,1,0,1,1,1,70,'\'(741.552114-inf)\'',69,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',4,14,13,'\'(76.549137-115.960834]\'',1,4,18,'\'(159.869152-241.1566]\'',1,15,38,'\'(112.254647-inf)\'',1,5,23,'\'(58.860938-81.517634]\'',1,2,12,'\'(64.248229-95.929302]\'',1,9,17,0,0,0,0,0,0,1,0,0,0,1,0,121,'\'(741.552114-inf)\'',49,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',2,15,8,'\'(41.257811-57.36167]\'',1,7,10,'\'(82.466974-112.968721]\'',2,21,16,'\'(55.248765-74.303022]\'',1,5,10,'\'(58.860938-81.517634]\'',2,6,8,'\'(64.248229-95.929302]\'',1,13,20,0,1,1,1,1,0,1,1,1,1,1,0,72,'\'(459.963402-573.253523]\'',67,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',1,12,8,'\'(57.36167-76.549137]\'',1,4,12,'\'(159.869152-241.1566]\'',2,9,16,'\'(41.626247-55.248765]\'',1,2,10,'\'(35.369728-46.650883]\'',1,3,8,'\'(48.843097-64.248229]\'',1,5,10,0,0,1,1,1,1,1,1,1,1,1,1,64,'\'(459.963402-573.253523]\'',35,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',1,24,13,'\'(115.960834-inf)\'',11,64,10,'\'(82.466974-112.968721]\'',2,21,16,'\'(112.254647-inf)\'',3,14,14,'\'(46.650883-58.860938]\'',1,5,14,'\'(-inf-38.860268]\'',1,7,12,0,1,1,0,0,0,1,1,1,1,1,1,79,'\'(741.552114-inf)\'',135,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',1,17,9,'\'(41.257811-57.36167]\'',1,12,10,'\'(-inf-82.466974]\'',1,22,32,'\'(-inf-41.626247]\'',1,11,11,'\'(-inf-35.369728]\'',1,11,14,'\'(64.248229-95.929302]\'',1,29,29,0,1,0,0,0,0,1,1,0,1,1,0,105,'\'(-inf-366.642526]\'',102,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',4,11,11,'\'(41.257811-57.36167]\'',1,3,10,'\'(159.869152-241.1566]\'',3,13,16,'\'(55.248765-74.303022]\'',1,8,12,'\'(46.650883-58.860938]\'',1,5,12,'\'(48.843097-64.248229]\'',1,5,10,0,1,1,0,0,1,1,1,1,1,1,1,71,'\'(459.963402-573.253523]\'',45,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',2,8,10,'\'(82.466974-112.968721]\'',1,11,16,'\'(55.248765-74.303022]\'',1,7,14,'\'(35.369728-46.650883]\'',1,3,8,'\'(38.860268-48.843097]\'',1,5,10,1,1,1,0,1,1,1,1,1,1,1,1,65,'\'(-inf-366.642526]\'',35,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,9,9,'\'(76.549137-115.960834]\'',1,10,10,'\'(241.1566-inf)\'',2,29,16,'\'(112.254647-inf)\'',2,8,10,'\'(81.517634-inf)\'',3,7,8,'\'(64.248229-95.929302]\'',1,6,12,0,1,1,1,1,0,1,1,1,1,1,1,65,'\'(741.552114-inf)\'',69,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,10,10,'\'(-inf-41.257811]\'',1,12,10,'\'(-inf-82.466974]\'',1,19,18,'\'(41.626247-55.248765]\'',1,11,11,'\'(-inf-35.369728]\'',2,8,8,'\'(-inf-38.860268]\'',1,10,10,0,1,0,0,1,1,1,1,0,1,1,1,67,'\'(-inf-366.642526]\'',70,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,1,14,'\'(76.549137-115.960834]\'',2,6,10,'\'(159.869152-241.1566]\'',1,9,39,'\'(112.254647-inf)\'',2,5,12,'\'(58.860938-81.517634]\'',1,1,16,'\'(95.929302-inf)\'',1,3,17,0,1,0,0,0,0,1,1,0,1,0,0,108,'\'(573.253523-741.552114]\'',25,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(76.549137-115.960834]\'',2,3,10,'\'(112.968721-159.869152]\'',1,25,26,'\'(74.303022-112.254647]\'',1,10,16,'\'(46.650883-58.860938]\'',1,5,12,'\'(48.843097-64.248229]\'',1,4,10,1,1,0,0,0,1,1,1,0,0,1,1,81,'\'(366.642526-459.963402]\'',48,'\'(15.967208-18.512556]\'',A
