t1,r1,p1,l1,t2,r2,p2,l2,t3,r3,p3,l3,t4,r4,p4,l4,t5,r5,p5,l5,t6,r6,p6,l6,op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,estado
'\'(135.14993-inf)\'',8,11,7,'\'(41.257811-57.36167]\'',1,2,12,'\'(82.466974-112.968721]\'',1,4,19,'\'(41.626247-55.248765]\'',1,2,10,'\'(81.517634-inf)\'',2,10,24,'\'(95.929302-inf)\'',6,25,10,1,0,0,1,0,1,1,1,0,1,0,1,82,'\'(573.253523-741.552114]\'',54,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,7,7,'\'(-inf-41.257811]\'',1,5,10,'\'(-inf-82.466974]\'',1,5,17,'\'(74.303022-112.254647]\'',1,18,21,'\'(58.860938-81.517634]\'',1,3,16,'\'(95.929302-inf)\'',2,19,14,1,1,0,0,0,0,1,1,0,0,0,1,85,'\'(366.642526-459.963402]\'',57,'\'(15.967208-18.512556]\'',A
'\'(37.138995-55.369498]\'',1,9,8,'\'(-inf-41.257811]\'',1,11,10,'\'(82.466974-112.968721]\'',2,17,18,'\'(-inf-41.626247]\'',1,3,10,'\'(46.650883-58.860938]\'',1,4,10,'\'(-inf-38.860268]\'',1,16,10,0,1,0,1,0,1,1,1,0,1,1,1,66,'\'(-inf-366.642526]\'',60,'\'(-inf-13.465411]\'',A
'\'(37.138995-55.369498]\'',2,2,7,'\'(76.549137-115.960834]\'',3,5,10,'\'(-inf-82.466974]\'',1,3,16,'\'(-inf-41.626247]\'',1,2,10,'\'(-inf-35.369728]\'',1,2,8,'\'(48.843097-64.248229]\'',2,4,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642526]\'',18,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,12,9,'\'(57.36167-76.549137]\'',1,12,12,'\'(241.1566-inf)\'',4,71,37,'\'(112.254647-inf)\'',2,15,14,'\'(81.517634-inf)\'',1,11,15,'\'(64.248229-95.929302]\'',1,14,14,0,0,0,0,0,0,1,1,0,1,0,1,101,'\'(741.552114-inf)\'',135,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',3,45,7,'\'(-inf-41.257811]\'',1,14,14,'\'(-inf-82.466974]\'',1,24,30,'\'(-inf-41.626247]\'',2,17,10,'\'(-inf-35.369728]\'',1,16,20,'\'(-inf-38.860268]\'',1,19,29,1,0,0,1,0,0,1,1,0,1,0,0,110,'\'(-inf-366.642526]\'',135,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,2,9,'\'(76.549137-115.960834]\'',1,4,20,'\'(159.869152-241.1566]\'',2,11,31,'\'(55.248765-74.303022]\'',2,6,12,'\'(35.369728-46.650883]\'',1,4,8,'\'(64.248229-95.929302]\'',1,8,18,0,0,0,0,1,0,1,0,0,1,1,0,98,'\'(459.963402-573.253523]\'',35,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',3,5,7,'\'(115.960834-inf)\'',6,13,10,'\'(-inf-82.466974]\'',2,6,16,'\'(-inf-41.626247]\'',1,3,10,'\'(46.650883-58.860938]\'',3,4,8,'\'(-inf-38.860268]\'',1,2,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(366.642526-459.963402]\'',33,'\'(-inf-13.465411]\'',A
'\'(80.790919-135.14993]\'',3,21,7,'\'(-inf-41.257811]\'',1,3,10,'\'(241.1566-inf)\'',3,32,33,'\'(55.248765-74.303022]\'',1,4,14,'\'(58.860938-81.517634]\'',1,3,14,'\'(95.929302-inf)\'',2,7,10,1,1,0,0,0,1,1,1,0,1,1,1,88,'\'(573.253523-741.552114]\'',70,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',1,7,9,'\'(57.36167-76.549137]\'',1,4,10,'\'(241.1566-inf)\'',3,6,16,'\'(74.303022-112.254647]\'',1,9,16,'\'(81.517634-inf)\'',1,3,8,'\'(64.248229-95.929302]\'',2,4,10,0,1,1,0,1,1,1,1,1,0,1,1,69,'\'(741.552114-inf)\'',33,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',5,13,7,'\'(57.36167-76.549137]\'',2,14,10,'\'(-inf-82.466974]\'',1,8,16,'\'(74.303022-112.254647]\'',1,9,17,'\'(35.369728-46.650883]\'',1,8,13,'\'(38.860268-48.843097]\'',1,7,10,1,1,1,0,0,1,1,1,1,0,1,1,73,'\'(573.253523-741.552114]\'',59,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',1,6,11,'\'(57.36167-76.549137]\'',1,7,10,'\'(112.968721-159.869152]\'',1,11,22,'\'(55.248765-74.303022]\'',1,2,12,'\'(81.517634-inf)\'',3,13,12,'\'(64.248229-95.929302]\'',1,8,12,0,1,0,0,0,0,1,1,0,1,1,1,79,'\'(459.963402-573.253523]\'',47,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',12,9,7,'\'(115.960834-inf)\'',4,17,10,'\'(241.1566-inf)\'',5,13,16,'\'(112.254647-inf)\'',4,11,10,'\'(58.860938-81.517634]\'',1,3,8,'\'(95.929302-inf)\'',1,7,14,1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(741.552114-inf)\'',60,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(41.257811-57.36167]\'',1,6,12,'\'(159.869152-241.1566]\'',6,25,16,'\'(41.626247-55.248765]\'',1,3,10,'\'(-inf-35.369728]\'',1,2,8,'\'(38.860268-48.843097]\'',1,4,10,1,0,1,1,1,1,1,1,1,1,1,1,63,'\'(366.642526-459.963402]\'',41,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',15,129,29,'\'(76.549137-115.960834]\'',1,32,29,'\'(82.466974-112.968721]\'',1,30,33,'\'(74.303022-112.254647]\'',1,29,29,'\'(81.517634-inf)\'',2,61,19,'\'(95.929302-inf)\'',18,342,38,0,0,0,0,0,0,0,0,0,0,0,0,177,'\'(741.552114-inf)\'',623,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,9,'\'(57.36167-76.549137]\'',2,3,10,'\'(-inf-82.466974]\'',1,11,26,'\'(55.248765-74.303022]\'',2,13,16,'\'(35.369728-46.650883]\'',1,6,12,'\'(-inf-38.860268]\'',1,10,10,0,1,0,0,0,1,1,1,0,0,1,1,83,'\'(-inf-366.642526]\'',44,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',1,2,9,'\'(76.549137-115.960834]\'',2,6,10,'\'(112.968721-159.869152]\'',1,5,16,'\'(55.248765-74.303022]\'',1,3,10,'\'(58.860938-81.517634]\'',1,4,10,'\'(95.929302-inf)\'',3,10,12,0,1,1,1,0,0,1,1,1,1,1,1,67,'\'(573.253523-741.552114]\'',30,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',1,3,7,'\'(115.960834-inf)\'',2,9,10,'\'(82.466974-112.968721]\'',1,5,18,'\'(-inf-41.626247]\'',1,2,10,'\'(35.369728-46.650883]\'',1,2,10,'\'(38.860268-48.843097]\'',1,2,10,1,1,0,1,0,1,1,1,0,1,1,1,65,'\'(366.642526-459.963402]\'',23,'\'(-inf-13.465411]\'',A
'\'(37.138995-55.369498]\'',1,5,9,'\'(41.257811-57.36167]\'',1,6,10,'\'(159.869152-241.1566]\'',1,26,44,'\'(74.303022-112.254647]\'',1,7,22,'\'(46.650883-58.860938]\'',1,4,12,'\'(-inf-38.860268]\'',1,5,10,0,1,0,0,0,1,1,1,0,0,1,1,107,'\'(459.963402-573.253523]\'',53,'\'(18.512556-21.845585]\'',A
'\'(37.138995-55.369498]\'',1,8,11,'\'(76.549137-115.960834]\'',1,30,29,'\'(-inf-82.466974]\'',1,30,31,'\'(-inf-41.626247]\'',1,12,14,'\'(-inf-35.369728]\'',1,12,17,'\'(-inf-38.860268]\'',1,10,14,0,0,0,0,0,0,1,0,0,1,0,1,116,'\'(-inf-366.642526]\'',102,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(76.549137-115.960834]\'',2,6,10,'\'(112.968721-159.869152]\'',1,6,22,'\'(112.254647-inf)\'',1,7,18,'\'(81.517634-inf)\'',2,8,18,'\'(64.248229-95.929302]\'',2,5,11,1,1,0,0,0,0,1,1,0,0,0,1,86,'\'(573.253523-741.552114]\'',34,'\'(15.967208-18.512556]\'',A
'\'(-inf-37.138995]\'',1,15,12,'\'(-inf-41.257811]\'',1,8,10,'\'(82.466974-112.968721]\'',2,134,58,'\'(74.303022-112.254647]\'',1,22,35,'\'(35.369728-46.650883]\'',1,20,17,'\'(48.843097-64.248229]\'',2,40,40,0,1,0,0,0,0,1,1,0,0,0,0,172,'\'(-inf-366.642526]\'',239,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,8,'\'(115.960834-inf)\'',3,14,10,'\'(241.1566-inf)\'',4,25,20,'\'(55.248765-74.303022]\'',1,5,14,'\'(-inf-35.369728]\'',1,3,8,'\'(64.248229-95.929302]\'',1,12,15,0,1,0,0,1,0,1,1,0,1,1,0,75,'\'(573.253523-741.552114]\'',60,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',2,33,16,'\'(115.960834-inf)\'',1,19,25,'\'(159.869152-241.1566]\'',1,25,40,'\'(55.248765-74.303022]\'',2,11,10,'\'(81.517634-inf)\'',4,21,16,'\'(38.860268-48.843097]\'',1,9,10,0,0,0,1,0,1,1,0,0,1,0,1,117,'\'(741.552114-inf)\'',118,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(57.36167-76.549137]\'',1,3,10,'\'(82.466974-112.968721]\'',1,6,17,'\'(41.626247-55.248765]\'',1,4,10,'\'(58.860938-81.517634]\'',1,7,13,'\'(48.843097-64.248229]\'',1,3,10,1,1,0,1,0,1,1,1,0,1,1,1,67,'\'(366.642526-459.963402]\'',24,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',2,14,8,'\'(76.549137-115.960834]\'',1,6,10,'\'(241.1566-inf)\'',3,22,17,'\'(112.254647-inf)\'',2,16,21,'\'(81.517634-inf)\'',6,47,9,'\'(48.843097-64.248229]\'',1,4,10,0,1,0,0,0,1,1,1,0,0,1,1,75,'\'(741.552114-inf)\'',109,'\'(21.845585-inf)\'',A
'\'(80.790919-135.14993]\'',2,41,7,'\'(41.257811-57.36167]\'',1,13,12,'\'(112.968721-159.869152]\'',3,57,21,'\'(41.626247-55.248765]\'',1,25,17,'\'(-inf-35.369728]\'',1,7,8,'\'(-inf-38.860268]\'',1,16,10,1,0,0,0,1,1,1,1,0,0,1,1,75,'\'(366.642526-459.963402]\'',159,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,1,7,'\'(76.549137-115.960834]\'',2,5,10,'\'(241.1566-inf)\'',3,19,18,'\'(41.626247-55.248765]\'',1,6,14,'\'(46.650883-58.860938]\'',2,3,8,'\'(38.860268-48.843097]\'',1,4,14,1,1,0,0,1,0,1,1,0,1,1,1,71,'\'(459.963402-573.253523]\'',38,'\'(13.465411-15.967208]\'',A
'\'(55.369498-80.790919]\'',1,7,7,'\'(76.549137-115.960834]\'',1,16,14,'\'(241.1566-inf)\'',4,42,16,'\'(112.254647-inf)\'',4,17,11,'\'(35.369728-46.650883]\'',1,4,8,'\'(64.248229-95.929302]\'',2,7,10,1,0,1,0,1,1,1,1,1,1,1,1,66,'\'(573.253523-741.552114]\'',93,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',26,95,34,'\'(76.549137-115.960834]\'',1,15,12,'\'(241.1566-inf)\'',4,111,19,'\'(74.303022-112.254647]\'',1,17,15,'\'(58.860938-81.517634]\'',1,11,12,'\'(38.860268-48.843097]\'',1,9,10,0,0,0,0,0,1,0,1,0,0,1,1,102,'\'(741.552114-inf)\'',258,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',2,18,8,'\'(-inf-41.257811]\'',1,12,10,'\'(112.968721-159.869152]\'',2,38,21,'\'(55.248765-74.303022]\'',4,37,12,'\'(-inf-35.369728]\'',1,13,14,'\'(48.843097-64.248229]\'',1,11,14,0,1,0,0,0,0,1,1,0,1,1,1,79,'\'(366.642526-459.963402]\'',129,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(41.257811-57.36167]\'',2,3,10,'\'(82.466974-112.968721]\'',3,16,16,'\'(-inf-41.626247]\'',1,3,10,'\'(-inf-35.369728]\'',1,3,8,'\'(-inf-38.860268]\'',1,6,14,1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(-inf-366.642526]\'',33,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(41.257811-57.36167]\'',1,4,10,'\'(241.1566-inf)\'',4,41,24,'\'(41.626247-55.248765]\'',1,18,16,'\'(35.369728-46.650883]\'',1,20,14,'\'(38.860268-48.843097]\'',1,11,14,1,1,0,0,0,0,1,1,0,0,1,1,85,'\'(459.963402-573.253523]\'',95,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,4,9,'\'(-inf-41.257811]\'',1,10,10,'\'(-inf-82.466974]\'',1,15,17,'\'(-inf-41.626247]\'',1,9,10,'\'(-inf-35.369728]\'',1,6,8,'\'(-inf-38.860268]\'',1,10,10,0,1,0,1,1,1,1,1,0,1,1,1,64,'\'(-inf-366.642526]\'',54,'\'(-inf-13.465411]\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(-inf-41.257811]\'',1,3,10,'\'(112.968721-159.869152]\'',3,17,17,'\'(-inf-41.626247]\'',1,3,13,'\'(46.650883-58.860938]\'',1,4,12,'\'(48.843097-64.248229]\'',1,7,16,1,1,0,0,0,0,1,1,0,1,1,0,75,'\'(-inf-366.642526]\'',36,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',2,6,7,'\'(115.960834-inf)\'',3,5,10,'\'(241.1566-inf)\'',4,16,17,'\'(74.303022-112.254647]\'',1,2,17,'\'(81.517634-inf)\'',1,2,16,'\'(95.929302-inf)\'',2,4,12,1,1,0,0,0,0,1,1,0,0,0,1,79,'\'(741.552114-inf)\'',35,'\'(18.512556-21.845585]\'',A
'\'(135.14993-inf)\'',5,53,14,'\'(57.36167-76.549137]\'',1,10,10,'\'(241.1566-inf)\'',5,41,17,'\'(55.248765-74.303022]\'',2,8,10,'\'(81.517634-inf)\'',3,10,8,'\'(-inf-38.860268]\'',1,4,10,0,1,0,1,1,1,1,1,0,1,1,1,69,'\'(741.552114-inf)\'',126,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,4,8,'\'(41.257811-57.36167]\'',1,9,10,'\'(159.869152-241.1566]\'',2,18,18,'\'(41.626247-55.248765]\'',1,6,10,'\'(35.369728-46.650883]\'',1,6,10,'\'(48.843097-64.248229]\'',1,4,10,0,1,0,1,0,1,1,1,0,1,1,1,66,'\'(366.642526-459.963402]\'',47,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(115.960834-inf)\'',3,10,10,'\'(241.1566-inf)\'',8,19,22,'\'(74.303022-112.254647]\'',3,3,10,'\'(81.517634-inf)\'',6,8,10,'\'(95.929302-inf)\'',1,2,12,1,1,0,1,0,0,1,1,0,1,1,1,71,'\'(741.552114-inf)\'',43,'\'(18.512556-21.845585]\'',A
'\'(55.369498-80.790919]\'',1,1,7,'\'(115.960834-inf)\'',9,8,10,'\'(112.968721-159.869152]\'',1,5,16,'\'(112.254647-inf)\'',1,6,12,'\'(81.517634-inf)\'',2,2,12,'\'(95.929302-inf)\'',1,3,10,1,1,1,0,0,1,1,1,1,1,1,1,67,'\'(573.253523-741.552114]\'',25,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',2,8,7,'\'(76.549137-115.960834]\'',4,36,10,'\'(159.869152-241.1566]\'',5,57,16,'\'(74.303022-112.254647]\'',3,13,10,'\'(81.517634-inf)\'',4,17,8,'\'(38.860268-48.843097]\'',2,10,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(573.253523-741.552114]\'',141,'\'(18.512556-21.845585]\'',A
'\'(37.138995-55.369498]\'',1,16,9,'\'(41.257811-57.36167]\'',2,14,10,'\'(82.466974-112.968721]\'',1,20,21,'\'(-inf-41.626247]\'',1,4,10,'\'(35.369728-46.650883]\'',1,4,13,'\'(48.843097-64.248229]\'',2,7,10,0,1,0,1,0,1,1,1,0,1,1,1,73,'\'(-inf-366.642526]\'',65,'\'(13.465411-15.967208]\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(-inf-41.257811]\'',2,5,10,'\'(-inf-82.466974]\'',1,8,16,'\'(-inf-41.626247]\'',1,4,10,'\'(-inf-35.369728]\'',1,3,8,'\'(-inf-38.860268]\'',1,4,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642526]\'',26,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',1,10,9,'\'(57.36167-76.549137]\'',1,5,10,'\'(159.869152-241.1566]\'',1,11,18,'\'(55.248765-74.303022]\'',1,4,10,'\'(81.517634-inf)\'',1,5,12,'\'(48.843097-64.248229]\'',1,5,10,0,1,0,1,0,1,1,1,0,1,1,1,69,'\'(573.253523-741.552114]\'',40,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',12,130,9,'\'(41.257811-57.36167]\'',1,10,10,'\'(112.968721-159.869152]\'',2,27,16,'\'(41.626247-55.248765]\'',1,5,10,'\'(58.860938-81.517634]\'',1,3,12,'\'(64.248229-95.929302]\'',1,7,14,0,1,1,1,0,0,1,1,1,1,1,1,71,'\'(573.253523-741.552114]\'',182,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',7,41,7,'\'(-inf-41.257811]\'',1,4,10,'\'(82.466974-112.968721]\'',2,17,16,'\'(-inf-41.626247]\'',1,2,10,'\'(46.650883-58.860938]\'',1,4,12,'\'(64.248229-95.929302]\'',2,7,10,1,1,1,1,0,1,1,1,1,1,1,1,65,'\'(573.253523-741.552114]\'',75,'\'(15.967208-18.512556]\'',A
'\'(80.790919-135.14993]\'',1,8,7,'\'(115.960834-inf)\'',7,16,10,'\'(112.968721-159.869152]\'',1,11,17,'\'(74.303022-112.254647]\'',1,5,15,'\'(58.860938-81.517634]\'',1,2,12,'\'(95.929302-inf)\'',2,7,10,1,1,0,0,0,1,1,1,0,0,1,1,71,'\'(573.253523-741.552114]\'',49,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',4,7,7,'\'(115.960834-inf)\'',3,7,13,'\'(241.1566-inf)\'',3,20,28,'\'(41.626247-55.248765]\'',1,2,10,'\'(35.369728-46.650883]\'',1,2,8,'\'(64.248229-95.929302]\'',2,5,10,1,0,0,1,1,1,1,1,0,1,1,1,76,'\'(741.552114-inf)\'',43,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',3,11,7,'\'(57.36167-76.549137]\'',2,3,10,'\'(241.1566-inf)\'',5,13,16,'\'(112.254647-inf)\'',6,18,10,'\'(58.860938-81.517634]\'',2,5,8,'\'(-inf-38.860268]\'',1,5,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(741.552114-inf)\'',55,'\'(15.967208-18.512556]\'',A
'\'(135.14993-inf)\'',3,12,7,'\'(57.36167-76.549137]\'',1,4,10,'\'(112.968721-159.869152]\'',1,5,16,'\'(74.303022-112.254647]\'',1,2,10,'\'(46.650883-58.860938]\'',1,2,8,'\'(64.248229-95.929302]\'',1,3,14,1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(459.963402-573.253523]\'',28,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',4,90,17,'\'(41.257811-57.36167]\'',1,6,10,'\'(-inf-82.466974]\'',1,4,16,'\'(-inf-41.626247]\'',1,2,10,'\'(58.860938-81.517634]\'',1,3,14,'\'(95.929302-inf)\'',4,8,14,0,1,1,1,0,0,1,1,1,1,1,1,81,'\'(573.253523-741.552114]\'',113,'\'(18.512556-21.845585]\'',A
'\'(80.790919-135.14993]\'',5,6,7,'\'(115.960834-inf)\'',2,6,10,'\'(241.1566-inf)\'',3,8,24,'\'(41.626247-55.248765]\'',1,1,10,'\'(81.517634-inf)\'',2,2,12,'\'(38.860268-48.843097]\'',1,1,10,1,1,0,1,0,1,1,1,0,1,1,1,73,'\'(741.552114-inf)\'',24,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',2,16,9,'\'(41.257811-57.36167]\'',1,12,10,'\'(-inf-82.466974]\'',1,25,25,'\'(41.626247-55.248765]\'',1,19,18,'\'(-inf-35.369728]\'',1,12,13,'\'(-inf-38.860268]\'',1,9,11,0,1,0,0,0,0,1,1,0,0,1,1,86,'\'(-inf-366.642526]\'',93,'\'(15.967208-18.512556]\'',A
'\'(55.369498-80.790919]\'',1,9,7,'\'(57.36167-76.549137]\'',1,10,10,'\'(112.968721-159.869152]\'',1,15,19,'\'(55.248765-74.303022]\'',1,3,10,'\'(81.517634-inf)\'',5,13,10,'\'(-inf-38.860268]\'',1,5,10,1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(573.253523-741.552114]\'',55,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',1,15,12,'\'(76.549137-115.960834]\'',1,9,15,'\'(241.1566-inf)\'',4,90,59,'\'(74.303022-112.254647]\'',1,9,15,'\'(58.860938-81.517634]\'',1,7,12,'\'(95.929302-inf)\'',1,7,29,0,0,0,0,0,0,1,1,0,0,1,0,142,'\'(741.552114-inf)\'',137,'\'(21.845585-inf)\'',A
'\'(-inf-37.138995]\'',1,1,7,'\'(76.549137-115.960834]\'',2,3,10,'\'(112.968721-159.869152]\'',1,7,20,'\'(41.626247-55.248765]\'',1,2,10,'\'(46.650883-58.860938]\'',2,3,8,'\'(38.860268-48.843097]\'',1,3,11,1,1,0,1,1,0,1,1,0,1,1,1,66,'\'(366.642526-459.963402]\'',19,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,1,7,'\'(115.960834-inf)\'',6,16,10,'\'(241.1566-inf)\'',2,3,18,'\'(55.248765-74.303022]\'',1,2,10,'\'(35.369728-46.650883]\'',1,2,8,'\'(48.843097-64.248229]\'',1,2,10,1,1,0,1,1,1,1,1,0,1,1,1,63,'\'(741.552114-inf)\'',26,'\'(13.465411-15.967208]\'',A
'\'(37.138995-55.369498]\'',2,7,7,'\'(-inf-41.257811]\'',3,16,10,'\'(159.869152-241.1566]\'',6,73,21,'\'(41.626247-55.248765]\'',2,18,10,'\'(-inf-35.369728]\'',1,16,16,'\'(48.843097-64.248229]\'',2,17,14,1,1,0,1,0,0,1,1,0,1,0,1,78,'\'(366.642526-459.963402]\'',147,'\'(18.512556-21.845585]\'',A
'\'(-inf-37.138995]\'',1,2,7,'\'(-inf-41.257811]\'',1,8,10,'\'(82.466974-112.968721]\'',3,21,16,'\'(-inf-41.626247]\'',1,6,10,'\'(-inf-35.369728]\'',1,3,8,'\'(38.860268-48.843097]\'',2,6,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642526]\'',46,'\'(-inf-13.465411]\'',A
'\'(55.369498-80.790919]\'',1,1,7,'\'(115.960834-inf)\'',5,14,10,'\'(241.1566-inf)\'',9,13,18,'\'(112.254647-inf)\'',4,13,10,'\'(46.650883-58.860938]\'',1,2,8,'\'(95.929302-inf)\'',4,4,10,1,1,0,1,1,1,1,1,0,1,1,1,63,'\'(741.552114-inf)\'',47,'\'(18.512556-21.845585]\'',A
'\'(80.790919-135.14993]\'',1,31,7,'\'(-inf-41.257811]\'',1,11,10,'\'(112.968721-159.869152]\'',2,39,16,'\'(41.626247-55.248765]\'',1,2,10,'\'(-inf-35.369728]\'',1,3,8,'\'(38.860268-48.843097]\'',1,3,10,1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(366.642526-459.963402]\'',89,'\'(13.465411-15.967208]\'',A
'\'(55.369498-80.790919]\'',2,5,7,'\'(57.36167-76.549137]\'',2,15,14,'\'(82.466974-112.968721]\'',2,12,16,'\'(-inf-41.626247]\'',1,2,10,'\'(35.369728-46.650883]\'',1,3,8,'\'(38.860268-48.843097]\'',2,5,10,1,0,1,1,1,1,1,1,1,1,1,1,65,'\'(366.642526-459.963402]\'',42,'\'(-inf-13.465411]\'',A
'\'(135.14993-inf)\'',1,32,26,'\'(41.257811-57.36167]\'',1,9,19,'\'(-inf-82.466974]\'',1,8,17,'\'(41.626247-55.248765]\'',1,8,13,'\'(81.517634-inf)\'',3,16,12,'\'(64.248229-95.929302]\'',1,7,18,0,0,0,0,0,0,0,0,0,1,1,0,105,'\'(459.963402-573.253523]\'',80,'\'(21.845585-inf)\'',A
'\'(37.138995-55.369498]\'',1,1,7,'\'(115.960834-inf)\'',2,4,10,'\'(159.869152-241.1566]\'',1,4,17,'\'(74.303022-112.254647]\'',2,5,10,'\'(58.860938-81.517634]\'',1,1,12,'\'(64.248229-95.929302]\'',2,5,10,1,1,0,1,0,1,1,1,0,1,1,1,66,'\'(573.253523-741.552114]\'',20,'\'(13.465411-15.967208]\'',A
'\'(135.14993-inf)\'',3,33,22,'\'(76.549137-115.960834]\'',3,32,18,'\'(159.869152-241.1566]\'',5,85,35,'\'(-inf-41.626247]\'',1,9,10,'\'(46.650883-58.860938]\'',2,17,19,'\'(-inf-38.860268]\'',1,10,15,0,0,0,1,0,0,0,0,0,1,0,0,119,'\'(573.253523-741.552114]\'',186,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,4,11,'\'(115.960834-inf)\'',2,10,10,'\'(241.1566-inf)\'',3,21,22,'\'(112.254647-inf)\'',3,24,17,'\'(46.650883-58.860938]\'',1,2,8,'\'(95.929302-inf)\'',1,9,18,0,1,0,0,1,0,1,1,0,0,1,0,86,'\'(741.552114-inf)\'',70,'\'(21.845585-inf)\'',A
'\'(135.14993-inf)\'',1,2,11,'\'(115.960834-inf)\'',6,4,10,'\'(241.1566-inf)\'',8,20,16,'\'(-inf-41.626247]\'',1,3,10,'\'(-inf-35.369728]\'',1,2,8,'\'(-inf-38.860268]\'',1,3,10,0,1,1,1,1,1,1,1,1,1,1,1,65,'\'(573.253523-741.552114]\'',34,'\'(13.465411-15.967208]\'',A
'\'(80.790919-135.14993]\'',1,11,9,'\'(57.36167-76.549137]\'',1,13,12,'\'(241.1566-inf)\'',4,26,22,'\'(55.248765-74.303022]\'',1,4,12,'\'(81.517634-inf)\'',1,5,14,'\'(64.248229-95.929302]\'',1,3,12,0,0,0,0,0,0,1,1,0,1,1,1,81,'\'(741.552114-inf)\'',62,'\'(18.512556-21.845585]\'',A
'\'(80.790919-135.14993]\'',1,5,9,'\'(115.960834-inf)\'',2,9,15,'\'(241.1566-inf)\'',6,66,46,'\'(112.254647-inf)\'',1,31,36,'\'(81.517634-inf)\'',1,12,14,'\'(95.929302-inf)\'',1,19,24,0,0,0,0,0,0,1,1,0,0,1,0,144,'\'(741.552114-inf)\'',142,'\'(21.845585-inf)\'',A
'\'(55.369498-80.790919]\'',1,7,8,'\'(41.257811-57.36167]\'',2,9,10,'\'(82.466974-112.968721]\'',2,16,16,'\'(41.626247-55.248765]\'',1,2,11,'\'(35.369728-46.650883]\'',1,4,10,'\'(38.860268-48.843097]\'',1,3,10,0,1,1,0,0,1,1,1,1,1,1,1,65,'\'(366.642526-459.963402]\'',41,'\'(-inf-13.465411]\'',A
