op1;op2;op3;op4;op5;op6;sv1;sv2;sv3;sv4;sv5;sv6;lt;tt;pt;game_score;score;score_a;score_p;score_d;score_s;programa;sol1;estado
1;0;0;1;0;0;1;1;0;1;0;0;110;286.826173;135;24.828213;9;5;4;4;2;'INGENIERIA EN COMPUTACION E INFORMATICA';4.8;A
0;0;0;0;1;0;1;0;0;1;1;0;98;534.837193;35;19.181718;6;3;3;1;2;'INGENIERIA CIVIL INDUSTRIAL';3.9;A
1;1;1;1;1;1;1;1;1;1;1;1;61;375.642109;33;11.627562;9;6;4;2;4;'INGENIERIA CIVIL INDUSTRIAL';6.2;A
1;1;0;0;0;1;1;1;0;1;1;1;88;624.460222;70;20.597609;6;4;1;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';5.3;A
0;1;1;0;1;1;1;1;1;0;1;1;69;782.304734;33;16.825981;8;4;5;2;3;'INGENIERIA CIVIL INFORMATICA';5.6;A
1;1;1;0;0;1;1;1;1;0;1;1;73;605.603891;59;17.351553;5;2;3;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';5.6;A
0;1;0;0;0;0;1;1;0;1;1;1;79;536.46251;47;16.905205;8;4;4;2;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6;A
1;1;1;1;1;0;1;1;1;1;1;1;65;1715.04026;60;26.842518;7;5;2;3;3;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
1;0;1;1;1;1;1;1;1;1;1;1;63;436.325967;41;13.021941;7;5;2;3;3;'INGENIERIA CIVIL INDUSTRIAL';5;A
0;0;0;0;0;0;0;0;0;0;0;0;177;2262.968067;623;84.472331;7;4;2;3;3;'INGENIERIA CIVIL INDUSTRIAL';5;A
0;1;0;0;0;1;1;1;0;0;1;1;83;311.519731;44;15.188383;10;6;5;2;2;'INGENIERIA EN COMPUTACION E INFORMATICA';6.2;A
0;1;1;1;0;0;1;1;1;1;1;1;67;573.426832;30;14.308117;8;6;3;3;3;'INGENIERIA CIVIL INDUSTRIAL';5.2;A
1;1;0;1;0;1;1;1;0;1;1;1;65;369.248866;23;11.590506;11;7;5;4;3;'INGENIERIA CIVIL INDUSTRIAL';6.2;A
0;1;0;0;0;1;1;1;0;0;1;1;107;485.401536;53;21.241727;3;2;2;0;1;'INGENIERIA CIVIL INDUSTRIAL';6;A
0;0;0;0;0;0;1;0;0;1;0;1;116;228.582538;102;23.20027;9;6;3;3;2;'INGENIERIA CIVIL INDUSTRIAL';7;A
1;1;0;0;0;0;1;1;0;0;0;1;86;620.388342;34;18.033796;3;2;1;1;2;'INGENIERIA EN COMPUTACION E INFORMATICA';6.5;A
0;1;0;0;0;0;1;1;0;0;0;0;172;318.526404;239;41.385644;6;2;4;1;1;'INGENIERIA EN COMPUTACION E INFORMATICA';4.6;A
0;1;0;0;1;0;1;1;0;1;1;0;75;662.911685;60;18.284443;5;2;3;1;1;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
0;0;0;1;0;1;1;0;0;1;0;1;117;762.460333;118;29.491116;3;2;1;1;1;'INGENIERIA EN COMPUTACION E INFORMATICA';4.2;A
1;1;0;1;0;1;1;1;0;1;1;1;67;385.85375;24;12.130674;5;2;2;2;1;'INGENIERIA EN COMPUTACION E INFORMATICA';4.2;A
0;1;0;0;0;1;1;1;0;0;1;1;75;1348.805774;109;27.904704;9;5;5;3;2;'INGENIERIA CIVIL INDUSTRIAL';4.5;A
1;0;0;0;1;1;1;1;0;0;1;1;75;409.805942;159;21.908418;9;5;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6;A
1;1;0;0;1;0;1;1;0;1;1;1;71;558.610958;38;15.292716;8;4;4;3;3;'INGENIERIA EN COMPUTACION E INFORMATICA';5.8;A
1;0;1;0;1;1;1;1;1;1;1;1;66;740.90866;93;19.624954;4;3;1;1;1;'INGENIERIA CIVIL INDUSTRIAL';5.8;A
0;0;0;0;0;1;0;1;0;0;1;1;102;1105.622541;258;38.990291;3;3;1;0;1;'INGENIERIA CIVIL INDUSTRIAL';4.5;A
0;1;0;0;0;0;1;1;0;1;1;1;79;393.233866;129;20.547682;9;6;4;3;3;'INGENIERIA CIVIL INFORMATICA';6.8;A
1;1;1;1;1;0;1;1;1;1;1;1;65;292.735681;33;11.465001;11;7;4;4;3;'INGENIERIA EN COMPUTACION E INFORMATICA';6;A
1;1;0;0;0;0;1;1;0;0;1;1;85;466.577562;95;20.128088;9;7;2;4;3;'INGENIERIA CIVIL INDUSTRIAL';5.4;A
