op1,op2,op3,op4,op5,op6,sv1,sv2,sv3,sv4,sv5,sv6,lt,tt,pt,game_score,score,score_a,score_p,score_d,score_s,programa,sol1,estado
1,0,0,1,0,0,1,1,0,1,1,1,77,'\'(366.642527-459.963403]\'',38,'\'(13.465412-15.967208]\'',3,2,0,2,3,'INGENIERIA CIVIL INDUSTRIAL',3,A
1,0,0,0,0,0,1,1,0,0,0,0,99,'\'(-inf-366.642527]\'',85,'\'(18.512556-21.845585]\'',4,2,1,2,2,'INGENIERIA CIVIL INDUSTRIAL',5.5,A
1,0,0,1,0,1,1,1,0,1,0,1,82,'\'(573.253522-741.552114]\'',54,'\'(18.512556-21.845585]\'',8,5,4,3,2,'INGENIERIA CIVIL INDUSTRIAL',6.6,A
1,1,0,0,0,0,1,1,0,0,0,1,85,'\'(366.642527-459.963403]\'',57,'\'(15.967208-18.512556]\'',6,4,3,2,2,'INGENIERIA CIVIL INDUSTRIAL',5.3,A
0,1,0,1,0,1,1,1,0,1,1,1,66,'\'(-inf-366.642527]\'',60,'\'(-inf-13.465412]\'',6,4,3,2,2,'INGENIERIA CIVIL INFORMATICA',2.2,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642527]\'',18,'\'(-inf-13.465412]\'',9,6,3,3,3,'INGENIERIA CIVIL INFORMATICA',6.6,A
0,0,0,0,0,0,1,1,0,1,0,1,101,'\'(741.552114-inf)\'',135,'\'(21.845585-inf)\'',3,2,1,1,1,'INGENIERIA EN COMPUTACION E INFORMATICA',3.6,A
1,0,0,1,0,0,1,1,0,1,0,0,110,'\'(-inf-366.642527]\'',135,'\'(21.845585-inf)\'',9,5,4,4,2,'INGENIERIA EN COMPUTACION E INFORMATICA',4.8,A
0,0,0,0,1,0,1,0,0,1,1,0,98,'\'(459.963403-573.253522]\'',35,'\'(18.512556-21.845585]\'',6,3,3,1,2,'INGENIERIA CIVIL INDUSTRIAL',3.9,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(366.642527-459.963403]\'',33,'\'(-inf-13.465412]\'',9,6,4,2,4,'INGENIERIA CIVIL INDUSTRIAL',6.2,A
1,1,0,0,0,1,1,1,0,1,1,1,88,'\'(573.253522-741.552114]\'',70,'\'(18.512556-21.845585]\'',6,4,1,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',5.3,A
0,1,1,0,1,1,1,1,1,0,1,1,69,'\'(741.552114-inf)\'',33,'\'(15.967208-18.512556]\'',8,4,5,2,3,'INGENIERIA CIVIL INFORMATICA',5.6,A
1,1,1,0,0,1,1,1,1,0,1,1,73,'\'(573.253522-741.552114]\'',59,'\'(15.967208-18.512556]\'',5,2,3,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',5.6,A
0,1,0,0,0,0,1,1,0,1,1,1,79,'\'(459.963403-573.253522]\'',47,'\'(15.967208-18.512556]\'',8,4,4,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6,A
1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(741.552114-inf)\'',60,'\'(21.845585-inf)\'',7,5,2,3,3,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
1,0,1,1,1,1,1,1,1,1,1,1,63,'\'(366.642527-459.963403]\'',41,'\'(-inf-13.465412]\'',7,5,2,3,3,'INGENIERIA CIVIL INDUSTRIAL',5,A
0,0,0,0,0,0,0,0,0,0,0,0,177,'\'(741.552114-inf)\'',623,'\'(21.845585-inf)\'',7,4,2,3,3,'INGENIERIA CIVIL INDUSTRIAL',5,A
0,1,0,0,0,1,1,1,0,0,1,1,83,'\'(-inf-366.642527]\'',44,'\'(13.465412-15.967208]\'',10,6,5,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',6.2,A
0,1,1,1,0,0,1,1,1,1,1,1,67,'\'(573.253522-741.552114]\'',30,'\'(13.465412-15.967208]\'',8,6,3,3,3,'INGENIERIA CIVIL INDUSTRIAL',5.2,A
1,1,0,1,0,1,1,1,0,1,1,1,65,'\'(366.642527-459.963403]\'',23,'\'(-inf-13.465412]\'',11,7,5,4,3,'INGENIERIA CIVIL INDUSTRIAL',6.2,A
0,1,0,0,0,1,1,1,0,0,1,1,107,'\'(459.963403-573.253522]\'',53,'\'(18.512556-21.845585]\'',3,2,2,0,1,'INGENIERIA CIVIL INDUSTRIAL',6,A
0,0,0,0,0,0,1,0,0,1,0,1,116,'\'(-inf-366.642527]\'',102,'\'(21.845585-inf)\'',9,6,3,3,2,'INGENIERIA CIVIL INDUSTRIAL',7,A
1,1,0,0,0,0,1,1,0,0,0,1,86,'\'(573.253522-741.552114]\'',34,'\'(15.967208-18.512556]\'',3,2,1,1,2,'INGENIERIA EN COMPUTACION E INFORMATICA',6.5,A
0,1,0,0,0,0,1,1,0,0,0,0,172,'\'(-inf-366.642527]\'',239,'\'(21.845585-inf)\'',6,2,4,1,1,'INGENIERIA EN COMPUTACION E INFORMATICA',4.6,A
0,1,0,0,1,0,1,1,0,1,1,0,75,'\'(573.253522-741.552114]\'',60,'\'(15.967208-18.512556]\'',5,2,3,1,1,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
0,0,0,1,0,1,1,0,0,1,0,1,117,'\'(741.552114-inf)\'',118,'\'(21.845585-inf)\'',3,2,1,1,1,'INGENIERIA EN COMPUTACION E INFORMATICA',4.2,A
1,1,0,1,0,1,1,1,0,1,1,1,67,'\'(366.642527-459.963403]\'',24,'\'(-inf-13.465412]\'',5,2,2,2,1,'INGENIERIA EN COMPUTACION E INFORMATICA',4.2,A
0,1,0,0,0,1,1,1,0,0,1,1,75,'\'(741.552114-inf)\'',109,'\'(21.845585-inf)\'',9,5,5,3,2,'INGENIERIA CIVIL INDUSTRIAL',4.5,A
1,0,0,0,1,1,1,1,0,0,1,1,75,'\'(366.642527-459.963403]\'',159,'\'(21.845585-inf)\'',9,5,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6,A
1,1,0,0,1,0,1,1,0,1,1,1,71,'\'(459.963403-573.253522]\'',38,'\'(13.465412-15.967208]\'',8,4,4,3,3,'INGENIERIA EN COMPUTACION E INFORMATICA',5.8,A
1,0,1,0,1,1,1,1,1,1,1,1,66,'\'(573.253522-741.552114]\'',93,'\'(18.512556-21.845585]\'',4,3,1,1,1,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
0,0,0,0,0,1,0,1,0,0,1,1,102,'\'(741.552114-inf)\'',258,'\'(21.845585-inf)\'',3,3,1,0,1,'INGENIERIA CIVIL INDUSTRIAL',4.5,A
0,1,0,0,0,0,1,1,0,1,1,1,79,'\'(366.642527-459.963403]\'',129,'\'(18.512556-21.845585]\'',9,6,4,3,3,'INGENIERIA CIVIL INFORMATICA',6.8,A
1,1,1,1,1,0,1,1,1,1,1,1,65,'\'(-inf-366.642527]\'',33,'\'(-inf-13.465412]\'',11,7,4,4,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6,A
1,1,0,0,0,0,1,1,0,0,1,1,85,'\'(459.963403-573.253522]\'',95,'\'(18.512556-21.845585]\'',9,7,2,4,3,'INGENIERIA CIVIL INDUSTRIAL',5.4,A
0,1,0,1,1,1,1,1,0,1,1,1,64,'\'(-inf-366.642527]\'',54,'\'(-inf-13.465412]\'',7,3,4,2,2,'INGENIERIA CIVIL INFORMATICA',5.8,A
1,1,0,0,0,0,1,1,0,1,1,0,75,'\'(-inf-366.642527]\'',36,'\'(13.465412-15.967208]\'',9,6,4,2,2,'INGENIERIA EN COMPUTACION E INFORMATICA',5.9,A
1,1,0,0,0,0,1,1,0,0,0,1,79,'\'(741.552114-inf)\'',35,'\'(18.512556-21.845585]\'',8,5,3,3,3,'INGENIERIA INDUSTRIAL',7,A
0,1,0,1,1,1,1,1,0,1,1,1,69,'\'(741.552114-inf)\'',126,'\'(21.845585-inf)\'',4,3,2,2,1,'INGENIERIA EN COMPUTACION E INFORMATICA',4.5,A
0,1,0,1,0,1,1,1,0,1,1,1,66,'\'(366.642527-459.963403]\'',47,'\'(13.465412-15.967208]\'',3,3,0,1,1,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
1,1,0,1,0,0,1,1,0,1,1,1,71,'\'(741.552114-inf)\'',43,'\'(18.512556-21.845585]\'',8,5,3,3,2,'INGENIERIA EN COMPUTACION E INFORMATICA',5.9,A
1,1,1,0,0,1,1,1,1,1,1,1,67,'\'(573.253522-741.552114]\'',25,'\'(13.465412-15.967208]\'',6,4,2,3,2,'INGENIERIA CIVIL INDUSTRIAL',6.7,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(573.253522-741.552114]\'',141,'\'(18.512556-21.845585]\'',7,5,2,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',5,A
0,1,0,1,0,1,1,1,0,1,1,1,73,'\'(-inf-366.642527]\'',65,'\'(13.465412-15.967208]\'',7,4,3,2,3,'INGENIERIA EN COMPUTACION E INFORMATICA',6.9,A
1,1,1,1,1,1,1,1,1,1,1,1,61,'\'(-inf-366.642527]\'',26,'\'(-inf-13.465412]\'',5,3,2,2,1,'INGENIERIA CIVIL INDUSTRIAL',5.8,A
0,1,0,1,0,1,1,1,0,1,1,1,69,'\'(573.253522-741.552114]\'',40,'\'(15.967208-18.512556]\'',6,3,3,2,3,'INGENIERIA CIVIL INDUSTRIAL',7,A
0,1,1,1,0,0,1,1,1,1,1,1,71,'\'(573.253522-741.552114]\'',182,'\'(21.845585-inf)\'',6,3,3,1,2,'INGENIERIA CIVIL INDUSTRIAL',6.3,A
